title,destination,duration,price,description,category,difficulty,groupSize,bestTime,availability,originalPrice,rating,reviews,images,itinerary,inclusions,exclusions
Kerala Ayurveda Retreat - 7 days,Kerala Ayurveda Retreat,7 days,143951,"Kerala Ayurveda Retreat - 7 days: A curated 7 days package to Kerala Ayurveda Retreat covering major highlights, comfortable stays and local experiences.",Luxury,Moderate,10-20 people,Winter,1,159654,4.7,243,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Kerala Ayurveda Retreat; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Spiti & Kinnaur Circuit - 14 days,Spiti & Kinnaur Circuit,14 days,71042,"Spiti & Kinnaur Circuit - 14 days: A curated 14 days package to Spiti & Kinnaur Circuit covering major highlights, comfortable stays and local experiences.",Adventure,Easy,1-4 people,Year-round,32,99924,4.6,146,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Spiti & Kinnaur Circuit; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Zanskar River Expedition - 3 days,Zanskar River Expedition,3 days,11324,"Zanskar River Expedition - 3 days: A curated 3 days package to Zanskar River Expedition covering major highlights, comfortable stays and local experiences.",Adventure,Challenging,2-8 people,Year-round,23,15586,5,1962,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Zanskar River Expedition; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Dharamshala & McLeod Ganj - 12 days,Dharamshala & McLeod Ganj,12 days,138664,"Dharamshala & McLeod Ganj - 12 days: A curated 12 days package to Dharamshala & McLeod Ganj covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,1-4 people,Spring,30,144615,4.4,1659,"https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Dharamshala & McLeod Ganj; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Tawang & Arunachal Circuit - 14 days,Tawang & Arunachal Circuit,14 days,86295,"Tawang & Arunachal Circuit - 14 days: A curated 14 days package to Tawang & Arunachal Circuit covering major highlights, comfortable stays and local experiences.",Romantic,Easy,5-12 people,Spring,13,116082,4.2,88,"https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Tawang & Arunachal Circuit; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Sariska & Alwar Forts - 7 days,Sariska & Alwar Forts,7 days,79222,"Sariska & Alwar Forts - 7 days: A curated 7 days package to Sariska & Alwar Forts covering major highlights, comfortable stays and local experiences.",Romantic,Easy,2-8 people,Autumn,11,82905,4.9,1920,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Sariska & Alwar Forts; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Pushkar & Ajmer - 10 days,Pushkar & Ajmer,10 days,56495,"Pushkar & Ajmer - 10 days: A curated 10 days package to Pushkar & Ajmer covering major highlights, comfortable stays and local experiences.",Luxury,Moderate,2-8 people,Spring,17,72466,3.6,1110,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Pushkar & Ajmer; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Kutch (White Desert) Experience - 7 days,Kutch,7 days,110554,"Kutch (White Desert) Experience - 7 days: A curated 7 days package to Kutch covering major highlights, comfortable stays and local experiences.",Wildlife,Challenging,10-20 people,Spring,20,119668,3.9,1805,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Kutch; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Jaisalmer Desert Safari - 6 days,Jaisalmer Desert Safari,6 days,114621,"Jaisalmer Desert Safari - 6 days: A curated 6 days package to Jaisalmer Desert Safari covering major highlights, comfortable stays and local experiences.",Wildlife,Moderate,2-8 people,Spring,21,123833,3.9,94,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Jaisalmer Desert Safari; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Bhutan overland (Phuentsholing to Thimphu) - 9 days,Bhutan overland,9 days,23920,"Bhutan overland (Phuentsholing to Thimphu) - 9 days: A curated 9 days package to Bhutan overland covering major highlights, comfortable stays and local experiences.",Luxury,Moderate,1-4 people,Winter,22,40886,4.6,745,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Bhutan overland; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Rishikesh Adventure (Rafting & Yoga) - 2 days,Rishikesh Adventure,2 days,59031,"Rishikesh Adventure (Rafting & Yoga) - 2 days: A curated 2 days package to Rishikesh Adventure covering major highlights, comfortable stays and local experiences.",Adventure,Moderate,10-20 people,Winter,17,88292,4.3,908,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Rishikesh Adventure; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Haridwar & Rishikesh Spiritual - 10 days,Haridwar & Rishikesh Spiritual,10 days,73602,"Haridwar & Rishikesh Spiritual - 10 days: A curated 10 days package to Haridwar & Rishikesh Spiritual covering major highlights, comfortable stays and local experiences.",Adventure,Moderate,2-8 people,Spring,37,84194,3.7,34,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Haridwar & Rishikesh Spiritual; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Pench & Kanha Combined Safari - 5 days,Pench & Kanha Combined Safari,5 days,17146,"Pench & Kanha Combined Safari - 5 days: A curated 5 days package to Pench & Kanha Combined Safari covering major highlights, comfortable stays and local experiences.",Wildlife,Challenging,5-12 people,Summer,7,41027,4,718,"https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Pench & Kanha Combined Safari; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Shimla-Kullu-Manali Deluxe - 12 days,Shimla-Kullu-Manali Deluxe,12 days,12755,"Shimla-Kullu-Manali Deluxe - 12 days: A curated 12 days package to Shimla-Kullu-Manali Deluxe covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,2-8 people,Winter,39,29060,4.4,1993,"https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Shimla-Kullu-Manali Deluxe; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Valley of Flowers Trek - 10 days,Valley of Flowers Trek,10 days,118022,"Valley of Flowers Trek - 10 days: A curated 10 days package to Valley of Flowers Trek covering major highlights, comfortable stays and local experiences.",Mountain,Easy,5-12 people,Summer,31,130952,4.2,70,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1501785888041-af3ef285b470",Day 1: Arrival at Valley of Flowers Trek; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Sula Vineyard & Nashik - 2 days,Sula Vineyard & Nashik,2 days,59452,"Sula Vineyard & Nashik - 2 days: A curated 2 days package to Sula Vineyard & Nashik covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,2-8 people,Spring,29,62822,4.7,1299,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Sula Vineyard & Nashik; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Coastal Kerala with Houseboat - 9 days,Coastal Kerala with Houseboat,9 days,47006,"Coastal Kerala with Houseboat - 9 days: A curated 9 days package to Coastal Kerala with Houseboat covering major highlights, comfortable stays and local experiences.",Beach,Easy,5-12 people,Year-round,31,65547,4.8,1345,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Coastal Kerala with Houseboat; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Heritage Temples of South India - 8 days,Heritage Temples of South India,8 days,82710,"Heritage Temples of South India - 8 days: A curated 8 days package to Heritage Temples of South India covering major highlights, comfortable stays and local experiences.",Heritage,Moderate,2-8 people,Winter,25,101483,4.4,1622,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Heritage Temples of South India; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Nainital & Bhimtal Lake Retreat - 8 days,Nainital & Bhimtal Lake Retreat,8 days,69177,"Nainital & Bhimtal Lake Retreat - 8 days: A curated 8 days package to Nainital & Bhimtal Lake Retreat covering major highlights, comfortable stays and local experiences.",Adventure,Moderate,10-20 people,Year-round,3,85274,4.5,481,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Nainital & Bhimtal Lake Retreat; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Sikkim & Darjeeling Tea Trails - 9 days,Sikkim & Darjeeling Tea Trails,9 days,37509,"Sikkim & Darjeeling Tea Trails - 9 days: A curated 9 days package to Sikkim & Darjeeling Tea Trails covering major highlights, comfortable stays and local experiences.",Mountain,Moderate,5-12 people,Summer,3,57449,4.1,1303,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Sikkim & Darjeeling Tea Trails; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Chandipur & Digha (Odisha) - 5 days,Chandipur & Digha,5 days,61841,"Chandipur & Digha (Odisha) - 5 days: A curated 5 days package to Chandipur & Digha covering major highlights, comfortable stays and local experiences.",Wildlife,Moderate,5-12 people,Winter,2,83653,4.1,1024,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Chandipur & Digha; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Gir National Park (Asiatic Lions) - 9 days,Gir National Park,9 days,73787,"Gir National Park (Asiatic Lions) - 9 days: A curated 9 days package to Gir National Park covering major highlights, comfortable stays and local experiences.",Wildlife,Moderate,2-8 people,Spring,2,77645,4,1253,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Gir National Park; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Bhuj & Mandvi Coastal - 10 days,Bhuj & Mandvi Coastal,10 days,23008,"Bhuj & Mandvi Coastal - 10 days: A curated 10 days package to Bhuj & Mandvi Coastal covering major highlights, comfortable stays and local experiences.",Beach,Challenging,10-20 people,Winter,7,30633,4.3,1347,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Bhuj & Mandvi Coastal; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Srinagar Houseboat Stay - 8 days,Srinagar Houseboat Stay,8 days,55888,"Srinagar Houseboat Stay - 8 days: A curated 8 days package to Srinagar Houseboat Stay covering major highlights, comfortable stays and local experiences.",Luxury,Challenging,2-8 people,Year-round,16,68007,4.4,899,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Srinagar Houseboat Stay; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Ajanta-Ellora Caves & Aurangabad - 2 days,Ajanta-Ellora Caves & Aurangabad,2 days,11410,"Ajanta-Ellora Caves & Aurangabad - 2 days: A curated 2 days package to Ajanta-Ellora Caves & Aurangabad covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,2-8 people,Autumn,18,34791,4.3,361,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Ajanta-Ellora Caves & Aurangabad; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Shillong & Cherrapunji - 9 days,Shillong & Cherrapunji,9 days,60850,"Shillong & Cherrapunji - 9 days: A curated 9 days package to Shillong & Cherrapunji covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,2-8 people,Year-round,40,69743,3.8,302,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4",Day 1: Arrival at Shillong & Cherrapunji; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Madhya Pradesh Temple Circuit - 4 days,Madhya Pradesh Temple Circuit,4 days,72882,"Madhya Pradesh Temple Circuit - 4 days: A curated 4 days package to Madhya Pradesh Temple Circuit covering major highlights, comfortable stays and local experiences.",Cultural,Moderate,1-4 people,Summer,11,91750,3.9,36,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Madhya Pradesh Temple Circuit; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Dehradun & Mussoorie Weekend - 14 days,Dehradun & Mussoorie Weekend,14 days,79677,"Dehradun & Mussoorie Weekend - 14 days: A curated 14 days package to Dehradun & Mussoorie Weekend covering major highlights, comfortable stays and local experiences.",Beach,Easy,5-12 people,Year-round,37,101667,4.3,1007,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Dehradun & Mussoorie Weekend; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Wayanad Adventure & Wildlife - 10 days,Wayanad Adventure & Wildlife,10 days,112263,"Wayanad Adventure & Wildlife - 10 days: A curated 10 days package to Wayanad Adventure & Wildlife covering major highlights, comfortable stays and local experiences.",Wildlife,Easy,2-8 people,Spring,34,141766,4.6,917,"https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Wayanad Adventure & Wildlife; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Yercaud & Salem Hills - 8 days,Yercaud & Salem Hills,8 days,8579,"Yercaud & Salem Hills - 8 days: A curated 8 days package to Yercaud & Salem Hills covering major highlights, comfortable stays and local experiences.",Mountain,Challenging,10-20 people,Summer,4,35432,4.3,1795,"https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Yercaud & Salem Hills; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Bikaner & Camel Festival Tour - 3 days,Bikaner & Camel Festival Tour,3 days,130620,"Bikaner & Camel Festival Tour - 3 days: A curated 3 days package to Bikaner & Camel Festival Tour covering major highlights, comfortable stays and local experiences.",Adventure,Challenging,5-12 people,Winter,19,159674,4.1,270,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Bikaner & Camel Festival Tour; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
"Agra, Fatehpur Sikri & Mathura - 10 days","Agra, Fatehpur Sikri & Mathura",10 days,125739,"Agra, Fatehpur Sikri & Mathura - 10 days: A curated 10 days package to Agra, Fatehpur Sikri & Mathura covering major highlights, comfortable stays and local experiences.",Cultural,Moderate,5-12 people,Winter,35,148915,3.7,8,"https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg","Day 1: Arrival at Agra, Fatehpur Sikri & Mathura; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure","Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Bodhgaya Pilgrimage - 8 days,Bodhgaya Pilgrimage,8 days,31845,"Bodhgaya Pilgrimage - 8 days: A curated 8 days package to Bodhgaya Pilgrimage covering major highlights, comfortable stays and local experiences.",Cultural,Easy,5-12 people,Autumn,38,57232,4.6,1839,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg",Day 1: Arrival at Bodhgaya Pilgrimage; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Spiritual Varanasi Evening Aarti - 2 days,Spiritual Varanasi Evening Aarti,2 days,47435,"Spiritual Varanasi Evening Aarti - 2 days: A curated 2 days package to Spiritual Varanasi Evening Aarti covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,10-20 people,Year-round,35,74860,4.6,1184,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg",Day 1: Arrival at Spiritual Varanasi Evening Aarti; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Kedarnath & Badrinath Char Dham - 7 days,Kedarnath & Badrinath Char Dham,7 days,102628,"Kedarnath & Badrinath Char Dham - 7 days: A curated 7 days package to Kedarnath & Badrinath Char Dham covering major highlights, comfortable stays and local experiences.",Cultural,Easy,1-4 people,Summer,26,104643,4.1,608,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/346885/pexels-photo-346885.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Kedarnath & Badrinath Char Dham; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Rameshwaram & Madurai Temple Trail - 8 days,Rameshwaram & Madurai Temple Trail,8 days,75114,"Rameshwaram & Madurai Temple Trail - 8 days: A curated 8 days package to Rameshwaram & Madurai Temple Trail covering major highlights, comfortable stays and local experiences.",Cultural,Moderate,5-12 people,Winter,31,99221,4.7,1340,"https://images.unsplash.com/photo-1507525428034-b723cf961d3e, https://images.pexels.com/photos/457882/pexels-photo-457882.jpeg, https://images.unsplash.com/photo-1501785888041-af3ef285b470",Day 1: Arrival at Rameshwaram & Madurai Temple Trail; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Coastal Goa Deluxe (Luxury) - 4 days,Coastal Goa Deluxe,4 days,29215,"Coastal Goa Deluxe (Luxury) - 4 days: A curated 4 days package to Coastal Goa Deluxe covering major highlights, comfortable stays and local experiences.",Beach,Easy,10-20 people,Summer,18,41519,4.1,1353,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg",Day 1: Arrival at Coastal Goa Deluxe; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Luxury Kerala Backwaters - 14 days,Luxury Kerala Backwaters,14 days,36467,"Luxury Kerala Backwaters - 14 days: A curated 14 days package to Luxury Kerala Backwaters covering major highlights, comfortable stays and local experiences.",Luxury,Challenging,2-8 people,Year-round,21,43931,4.3,123,"https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg",Day 1: Arrival at Luxury Kerala Backwaters; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Budget North India Express - 2 days,Budget North India Express,2 days,73661,"Budget North India Express - 2 days: A curated 2 days package to Budget North India Express covering major highlights, comfortable stays and local experiences.",Cultural,Easy,10-20 people,Year-round,17,81605,3.7,1078,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1501785888041-af3ef285b470, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Budget North India Express; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Monsoon Kerala (Houseboat + Ayurveda) - 3 days,Monsoon Kerala,3 days,122735,"Monsoon Kerala (Houseboat + Ayurveda) - 3 days: A curated 3 days package to Monsoon Kerala covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,2-8 people,Winter,7,140553,4.6,615,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.unsplash.com/photo-1491553895911-0055eca6402d, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Monsoon Kerala; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Heritage Hyderabad & Charminar - 6 days,Heritage Hyderabad & Charminar,6 days,108891,"Heritage Hyderabad & Charminar - 6 days: A curated 6 days package to Heritage Hyderabad & Charminar covering major highlights, comfortable stays and local experiences.",Cultural,Challenging,2-8 people,Autumn,21,136322,4.8,466,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/164522/pexels-photo-164522.jpeg, https://images.unsplash.com/photo-1507525428034-b723cf961d3e",Day 1: Arrival at Heritage Hyderabad & Charminar; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
Siliguri Gateway to Northeast - 7 days,Siliguri Gateway to Northeast,7 days,48497,"Siliguri Gateway to Northeast - 7 days: A curated 7 days package to Siliguri Gateway to Northeast covering major highlights, comfortable stays and local experiences.",Beach,Challenging,5-12 people,Summer,2,66119,4.2,1600,"https://images.unsplash.com/photo-1526778548025-fa2f459cd5c4, https://images.pexels.com/photos/1054218/pexels-photo-1054218.jpeg, https://images.unsplash.com/photo-1491553895911-0055eca6402d",Day 1: Arrival at Siliguri Gateway to Northeast; Day 2: Local sightseeing; Day 3: Main attractions; Day 4: Departure,"Accommodation, Breakfast, Local transport, Guide","Flights, Visa, Personal expenses"
